,,,,,,,,,,,,,,OD490,,,,,,,,,OD600,,,,,,,,,,,,,,,
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.099 ,0.090 ,0.089 ,0.091 ,0.096 ,0.090 ,0.475 ,0.447 ,0.440 ,0.443 ,0.499 ,0.381 ,,0.071 ,0.063 ,0.061 ,0.061 ,0.066 ,0.060 ,0.170 ,0.161 ,0.163 ,0.161 ,0.175 ,0.141 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.094 ,0.090 ,0.089 ,0.085 ,0.094 ,0.091 ,0.139 ,0.134 ,0.125 ,0.131 ,0.145 ,0.352 ,,0.071 ,0.062 ,0.061 ,0.062 ,0.066 ,0.063 ,0.079 ,0.078 ,0.072 ,0.076 ,0.080 ,0.137 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.096 ,0.087 ,0.089 ,0.090 ,0.096 ,0.094 ,0.114 ,0.117 ,0.111 ,0.112 ,0.123 ,0.128 ,,0.070 ,0.060 ,0.060 ,0.062 ,0.065 ,0.066 ,0.070 ,0.075 ,0.068 ,0.069 ,0.076 ,0.075 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.094 ,0.084 ,0.089 ,0.091 ,0.095 ,0.093 ,0.106 ,0.105 ,0.103 ,0.109 ,0.105 ,0.104 ,,0.071 ,0.063 ,0.064 ,0.064 ,0.065 ,0.065 ,0.069 ,0.068 ,0.068 ,0.068 ,0.070 ,0.067 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate  3,LAEE-T2,,,,,,LAEE-T2,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.181 ,0.160 ,0.157 ,0.155 ,0.160 ,0.156 ,0.175 ,0.157 ,0.173 ,0.168 ,0.175 ,0.176 ,,0.100 ,0.090 ,0.086 ,0.088 ,0.087 ,0.089 ,0.095 ,0.088 ,0.093 ,0.092 ,0.091 ,0.099 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.110 ,0.112 ,0.105 ,0.104 ,0.110 ,0.114 ,0.105 ,0.113 ,0.107 ,0.112 ,0.120 ,0.122 ,,0.079 ,0.075 ,0.074 ,0.070 ,0.074 ,0.075 ,0.074 ,0.072 ,0.072 ,0.074 ,0.082 ,0.080 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.102 ,0.100 ,0.099 ,0.102 ,0.097 ,0.097 ,0.096 ,0.104 ,0.099 ,0.105 ,0.108 ,0.111 ,,0.078 ,0.068 ,0.068 ,0.069 ,0.071 ,0.073 ,0.065 ,0.072 ,0.070 ,0.075 ,0.074 ,0.077 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.107 ,0.093 ,0.097 ,0.098 ,0.098 ,0.094 ,0.095 ,0.092 ,0.097 ,0.098 ,0.159 ,0.066 ,,0.076 ,0.067 ,0.068 ,0.068 ,0.067 ,0.068 ,0.069 ,0.071 ,0.070 ,0.076 ,0.136 ,0.062 
,LAEE-T2,,,,,,LAEE-T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.171 ,0.159 ,0.153 ,0.147 ,0.148 ,0.136 ,0.431 ,0.422 ,0.403 ,0.407 ,0.469 ,0.393 ,,0.098 ,0.086 ,0.086 ,0.085 ,0.085 ,0.084 ,0.172 ,0.161 ,0.156 ,0.158 ,0.173 ,0.147 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.114 ,0.112 ,0.110 ,0.108 ,0.111 ,0.109 ,0.137 ,0.132 ,0.121 ,0.125 ,0.140 ,0.350 ,,0.083 ,0.077 ,0.075 ,0.071 ,0.075 ,0.076 ,0.086 ,0.081 ,0.076 ,0.081 ,0.081 ,0.144 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.101 ,0.106 ,0.099 ,0.099 ,0.104 ,0.104 ,0.113 ,0.113 ,0.112 ,0.113 ,0.123 ,0.128 ,,0.079 ,0.071 ,0.072 ,0.073 ,0.073 ,0.073 ,0.074 ,0.077 ,0.077 ,0.077 ,0.078 ,0.080 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.101 ,0.094 ,0.097 ,0.100 ,0.101 ,0.096 ,0.106 ,0.100 ,0.103 ,0.106 ,0.108 ,0.105 ,,0.078 ,0.070 ,0.072 ,0.074 ,0.074 ,0.073 ,0.075 ,0.072 ,0.077 ,0.077 ,0.076 ,0.075 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate  4,LA-T0,,,,,,LA-T0,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.097 ,0.089 ,0.096 ,0.096 ,0.095 ,0.104 ,0.099 ,0.097 ,0.100 ,0.104 ,0.108 ,0.113 ,,0.070 ,0.063 ,0.062 ,0.060 ,0.062 ,0.065 ,0.066 ,0.064 ,0.064 ,0.064 ,0.068 ,0.070 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.100 ,0.097 ,0.095 ,0.100 ,0.103 ,0.100 ,0.098 ,0.100 ,0.096 ,0.103 ,0.109 ,0.105 ,,0.068 ,0.064 ,0.060 ,0.063 ,0.066 ,0.062 ,0.063 ,0.064 ,0.061 ,0.064 ,0.070 ,0.067 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.100 ,0.105 ,0.096 ,0.097 ,0.099 ,0.107 ,0.097 ,0.101 ,0.094 ,0.097 ,0.107 ,0.109 ,,0.068 ,0.064 ,0.062 ,0.062 ,0.062 ,0.063 ,0.061 ,0.065 ,0.063 ,0.062 ,0.067 ,0.067 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.100 ,0.100 ,0.097 ,0.100 ,0.099 ,0.103 ,0.104 ,0.097 ,0.101 ,0.098 ,0.110 ,0.107 ,,0.068 ,0.061 ,0.062 ,0.063 ,0.065 ,0.064 ,0.062 ,0.064 ,0.065 ,0.060 ,0.065 ,0.067 
,LA-T0,,,,,,LA-T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.102 ,0.104 ,0.102 ,0.102 ,0.101 ,0.110 ,0.489 ,0.484 ,0.522 ,0.416 ,0.532 ,0.529 ,,0.069 ,0.063 ,0.064 ,0.063 ,0.061 ,0.067 ,0.168 ,0.166 ,0.182 ,0.149 ,0.186 ,0.183 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.105 ,0.099 ,0.100 ,0.095 ,0.106 ,0.104 ,0.109 ,0.103 ,0.102 ,0.104 ,0.109 ,0.718 ,,0.068 ,0.061 ,0.064 ,0.063 ,0.066 ,0.063 ,0.069 ,0.065 ,0.062 ,0.064 ,0.065 ,0.238 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.110 ,0.101 ,0.098 ,0.101 ,0.103 ,0.109 ,0.106 ,0.105 ,0.105 ,0.106 ,0.110 ,0.119 ,,0.069 ,0.065 ,0.063 ,0.061 ,0.062 ,0.068 ,0.066 ,0.064 ,0.067 ,0.065 ,0.064 ,0.070 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.110 ,0.100 ,0.103 ,0.101 ,0.105 ,0.106 ,0.112 ,0.108 ,0.107 ,0.108 ,0.128 ,0.117 ,,0.069 ,0.060 ,0.065 ,0.065 ,0.061 ,0.066 ,0.065 ,0.065 ,0.065 ,0.068 ,0.068 ,0.069 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate  5,LA-T2,,,,,,LA-T2,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.460 ,0.430 ,0.462 ,0.383 ,0.448 ,0.499 ,0.477 ,0.462 ,0.508 ,0.491 ,0.531 ,0.540 ,,0.170 ,0.154 ,0.164 ,0.142 ,0.161 ,0.173 ,0.169 ,0.165 ,0.177 ,0.178 ,0.186 ,0.192 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.098 ,0.090 ,0.092 ,0.094 ,0.101 ,0.149 ,0.099 ,0.094 ,0.098 ,0.104 ,0.108 ,0.147 ,,0.066 ,0.061 ,0.060 ,0.059 ,0.064 ,0.078 ,0.064 ,0.063 ,0.063 ,0.062 ,0.067 ,0.078 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.094 ,0.093 ,0.096 ,0.091 ,0.099 ,0.107 ,0.098 ,0.100 ,0.099 ,0.105 ,0.104 ,0.109 ,,0.066 ,0.061 ,0.060 ,0.060 ,0.063 ,0.067 ,0.061 ,0.062 ,0.063 ,0.065 ,0.066 ,0.066 
